symbol,preset,value,trades,wins,losses,win_rate,profit_pct
SOLUSDT,loose_entry,0.5,73,2,71,0.0274,-8.8171
SOLUSDT,broad_zone,0.5,68,2,66,0.0294,-6.9472
SOLUSDT,low_rr,0.5,70,2,68,0.0286,-8.4306
SOLUSDT,aggressive,0.5,73,2,71,0.0274,-8.8171
SOLUSDT,partial_50,0.5,29,3,20,0.3103,1.9593
SOLUSDT,partial_60,0.5,35,2,29,0.1714,0.367
SOLUSDT,partial_70,0.5,34,2,29,0.1471,0.5525
SOLUSDT,partial_tight,0.5,31,1,27,0.129,-1.3257
SOLUSDT,partial_high_rr,0.5,24,2,19,0.2083,0.0723
SOLUSDT,partial_conservative,0.5,24,2,19,0.2083,-0.9095
SOLUSDT,trail_20_from_15,0.5,86,2,69,0.1977,-2.7276
SOLUSDT,trail_15_from_15,0.5,36,2,22,0.3889,0.8013
SOLUSDT,trail_15_from_15_d1,0.5,43,2,28,0.3488,-0.2166
SOLUSDT,trail_25_from_15,0.5,65,2,46,0.2923,-1.0125
SOLUSDT,db_layer_0,0.5,26,0,18,0.3077,-1.9817
SOLUSDT,db_layer_1,0.5,59,0,52,0.1186,-4.7134
SOLUSDT,db_layer_3,0.5,43,0,35,0.186,-2.2148
SOLUSDT,rr_4x_trail_20,0.5,25,0,17,0.32,-1.8181
SOLUSDT,rr_3x_trail_15,0.5,57,0,50,0.1228,-4.4727
SOLUSDT,sl_filter_trail,0.5,55,1,40,0.2727,-2.2131
SOLUSDT,trail_20_from_30_sl_filter,0.5,28,2,18,0.3571,0.4388
SOLUSDT,trail_20_from_30_full,0.5,22,0,17,0.2273,-3.0309
SOLUSDT,trail_15_from_30,0.5,75,2,65,0.1333,-3.1062
SOLUSDT,trail_20_from_30_cooldown,0.5,27,2,16,0.4074,1.421
SOLUSDT,trail_15_from_30_tp95,0.5,29,2,20,0.3103,-0.0819
SOLUSDT,trail_15_from_30_cooldown,0.5,27,2,16,0.4074,1.8904
SOLUSDT,trail_15_from_30_full,0.5,26,2,17,0.3462,0.898
SOLUSDT,db_clone_cooldown,0.5,17,0,12,0.2941,-2.3592
SOLUSDT,correction_w20_trail15_30,0.5,29,2,20,0.3103,-0.0819
SOLUSDT,db_full_clone,0.5,28,0,20,0.2857,-2.2828
SOLUSDT,sl_adjust_rr_trail,0.5,32,0,28,0.125,-3.2911
SOLUSDT,sl_adjust_rr_tp95,0.5,29,0,19,0.3448,-3.3626
SOLUSDT,max_profit_2pct,0.5,27,1,26,0.037,-5.2477
SOLUSDT,max_profit_2pct_trail,0.5,9,0,6,0.3333,0.4425
SOLUSDT,max_profit_3pct_trail,0.5,27,0,24,0.1111,-2.0503
SOLUSDT,r5_tight,0.5,26,2,17,0.3462,0.898
SOLUSDT,r5_rr3,0.5,21,0,16,0.2381,-3.2672
SOLUSDT,r5_sl_filter,0.5,23,2,16,0.3043,-0.0501
SOLUSDT,r5_sl_adjust,0.5,21,0,16,0.2381,-3.2672
SOLUSDT,r5_tight_rr3,0.5,21,0,16,0.2381,-3.2672
SOLUSDT,r5_tight_sl,0.5,23,2,16,0.3043,-0.0501
SOLUSDT,r5_all_filters,0.5,19,0,15,0.2105,-3.2507
SOLUSDT,r5_trail10,0.5,34,2,28,0.1765,-0.5925
SOLUSDT,r5_arm25,0.5,28,2,21,0.25,-0.1881
SOLUSDT,r5_arm20,0.5,30,2,22,0.2667,-1.0635
SOLUSDT,r5_arm15_cooldown,0.5,33,2,22,0.3333,-1.1812
SOLUSDT,r6_arm15_rr4,0.5,14,0,10,0.2857,-1.9564
SOLUSDT,r6_arm15_maxp3_trail20,0.5,18,2,9,0.5,-0.1573
SOLUSDT,r6_arm15_full,0.5,14,0,12,0.1429,-2.3402
SOLUSDT,r7_arm20_maxp3_trail20,0.5,16,2,9,0.4375,-0.0905
SOLUSDT,r7_trail15_maxp3,0.5,27,2,14,0.4815,1.4028
SOLUSDT,r7_trail20_maxp3,0.5,27,2,14,0.4815,1.0539
SOLUSDT,r7_full_clone_cooldown,0.5,14,0,12,0.1429,-2.3908
SOLUSDT,r5_sl_adj_cooldown,0.5,20,0,15,0.25,-5.1475
SOLUSDT,r5_trail10_rr3,0.5,21,0,16,0.2381,-2.9586
SOLUSDT,full_clone_max_tp,0.5,25,0,23,0.08,-2.4246
SOLUSDT,full_clone_sl_adjust,0.5,47,0,41,0.1277,-3.3906
SOLUSDT,lh_sell_trail15,0.5,30,2,21,0.3,-2.0128
SOLUSDT,lh_sell_prox15_trail15,0.5,31,2,22,0.2903,-2.3319
SOLUSDT,hl_buy_trail15,0.5,41,2,28,0.3171,6.8544
SOLUSDT,hl_buy_prox15_trail15,0.5,34,2,21,0.3824,6.3535
SOLUSDT,pre_confirm_trail15,0.5,42,2,29,0.3095,5.4787
SOLUSDT,pre_confirm_prox15_trail15,0.5,35,2,22,0.3714,4.4226
SOLUSDT,r8_btc_minsl_strict,0.5,28,1,23,0.1786,-2.3122
SOLUSDT,r8_sol_hlbuy_cooldown,0.5,48,2,38,0.2083,4.5557
SOLUSDT,trail_15_from_30_act2_min1,0.5,70,2,65,0.0714,-6.2878
SOLUSDT,trail_15_from_30_act3_min1,0.5,64,2,61,0.0469,-3.7021
SOLUSDT,trail_15_from_30_act5_min15,0.5,64,2,62,0.0312,-7.4977
SOLUSDT,trail_20_from_30_act2_min1,0.5,23,3,18,0.2174,-2.3557
SOLUSDT,trail_20_from_30_act3_min1,0.5,22,3,18,0.1818,0.2673
SOLUSDT,trail_20_from_30_act5_min15,0.5,22,3,19,0.1364,-3.5238
SOLUSDT,trail_15_from_15_act2_min1,0.5,26,2,22,0.1538,-4.7538
SOLUSDT,trail_15_from_15_act3_min1,0.5,25,2,22,0.12,-2.1298
SOLUSDT,trail_15_from_15_act5_min15,0.5,25,2,23,0.08,-5.9234
SOLUSDT,trail_20_from_15_act2_min1,0.5,65,2,60,0.0769,-5.9216
SOLUSDT,trail_20_from_15_act3_min1,0.5,62,2,59,0.0484,-4.0224
SOLUSDT,trail_20_from_15_act5_min15,0.5,62,2,60,0.0323,-7.8179
SOLUSDT,default,0.3,64,2,62,0.0312,-6.339
SOLUSDT,loose_entry,0.3,70,2,68,0.0286,-7.8778
SOLUSDT,broad_zone,0.3,67,2,65,0.0299,-6.7254
SOLUSDT,low_rr,0.3,67,2,65,0.0299,-7.4913
SOLUSDT,aggressive,0.3,70,2,68,0.0286,-7.8778
SOLUSDT,partial_50,0.3,28,3,19,0.3214,2.6062
SOLUSDT,partial_60,0.3,34,2,28,0.1765,0.8439
SOLUSDT,partial_70,0.3,33,2,28,0.1515,1.0293
SOLUSDT,partial_tight,0.3,31,1,27,0.129,-1.3257
SOLUSDT,partial_high_rr,0.3,24,2,19,0.2083,0.0723
SOLUSDT,partial_conservative,0.3,24,2,19,0.2083,-0.9095
SOLUSDT,trail_20_from_15,0.3,85,2,68,0.2,-2.5058
SOLUSDT,trail_15_from_15,0.3,35,2,21,0.4,1.2781
SOLUSDT,trail_15_from_15_d1,0.3,42,2,27,0.3571,0.2602
SOLUSDT,trail_25_from_15,0.3,64,2,45,0.2969,-0.7057
SOLUSDT,db_layer_0,0.3,26,0,18,0.3077,-1.9817
SOLUSDT,db_layer_1,0.3,59,0,52,0.1186,-4.7134
SOLUSDT,db_layer_3,0.3,43,0,35,0.186,-2.2148
SOLUSDT,rr_4x_trail_20,0.3,25,0,17,0.32,-1.8181
SOLUSDT,rr_3x_trail_15,0.3,57,0,50,0.1228,-4.4727
SOLUSDT,sl_filter_trail,0.3,54,1,39,0.2778,-1.9064
SOLUSDT,trail_20_from_30_sl_filter,0.3,27,2,17,0.3704,1.0858
SOLUSDT,trail_20_from_30_full,0.3,22,0,17,0.2273,-3.0309
SOLUSDT,trail_15_from_30,0.3,74,2,64,0.1351,-2.8844
SOLUSDT,trail_20_from_30_cooldown,0.3,26,2,15,0.4231,1.2544
SOLUSDT,trail_15_from_30_tp95,0.3,28,2,19,0.3214,0.5651
SOLUSDT,trail_15_from_30_cooldown,0.3,26,2,15,0.4231,1.7083
SOLUSDT,trail_15_from_30_full,0.3,25,2,16,0.36,0.7159
SOLUSDT,db_clone_cooldown,0.3,17,0,12,0.2941,-2.3592
SOLUSDT,correction_w20_trail15_30,0.3,28,2,19,0.3214,0.5651
SOLUSDT,db_full_clone,0.3,28,0,20,0.2857,-2.2828
SOLUSDT,sl_adjust_rr_trail,0.3,32,0,28,0.125,-3.2911
SOLUSDT,sl_adjust_rr_tp95,0.3,29,0,19,0.3448,-3.3626
SOLUSDT,max_profit_2pct,0.3,26,1,25,0.0385,-4.941
SOLUSDT,max_profit_2pct_trail,0.3,9,0,6,0.3333,0.4425
SOLUSDT,max_profit_3pct_trail,0.3,27,0,24,0.1111,-2.0503
SOLUSDT,r5_tight,0.3,25,2,16,0.36,0.7159
SOLUSDT,r5_rr3,0.3,21,0,16,0.2381,-3.2672
SOLUSDT,r5_sl_filter,0.3,22,2,15,0.3182,-0.2322
SOLUSDT,r5_sl_adjust,0.3,21,0,16,0.2381,-3.2672
SOLUSDT,r5_tight_rr3,0.3,21,0,16,0.2381,-3.2672
SOLUSDT,r5_tight_sl,0.3,22,2,15,0.3182,-0.2322
SOLUSDT,r5_all_filters,0.3,19,0,15,0.2105,-3.2507
